tinh,huyen,xa,diaban,hoso,m5b2c1,m5b2c1a,m5b2c2,m5b2c3
101,1,15.0,50,13,302.0,,5410.0,0.0
101,1,15.0,50,13,326.0,,1920.0,0.0
101,1,15.0,50,13,319.0,,930.0,0.0
101,1,15.0,50,13,301.0,,160.0,0.0
101,1,15.0,50,13,306.0,,640.0,0.0
101,1,15.0,50,13,323.0,,250.0,0.0
101,1,15.0,50,13,312.0,,50.0,0.0
101,1,15.0,50,13,314.0,,250.0,0.0
101,1,15.0,50,13,304.0,,200.0,0.0
101,1,15.0,50,13,307.0,,480.0,0.0
101,1,15.0,50,13,333.0,,2160.0,0.0
101,1,15.0,50,13,320.0,,720.0,0.0
101,1,15.0,50,13,399.0,,560.0,0.0
101,1,15.0,50,13,308.0,,1000.0,0.0
101,1,15.0,50,13,310.0,,36.0,0.0
101,1,15.0,50,13,311.0,,245.0,0.0
101,1,15.0,50,14,320.0,,490.0,0.0
101,1,15.0,50,14,312.0,,60.0,0.0
101,1,15.0,50,14,326.0,,1200.0,0.0
101,1,15.0,50,14,333.0,,800.0,0.0
101,1,15.0,50,14,325.0,,900.0,0.0
101,1,15.0,50,14,321.0,,600.0,0.0
101,1,15.0,50,14,310.0,,40.0,0.0
101,1,15.0,50,14,306.0,,760.0,0.0
101,1,15.0,50,14,332.0,,7200.0,0.0
101,1,15.0,50,14,319.0,,410.0,0.0
101,1,15.0,50,14,307.0,,600.0,0.0
101,1,15.0,50,14,324.0,,150.0,0.0
101,1,15.0,50,14,308.0,,676.0,0.0
101,1,15.0,50,14,323.0,,350.0,0.0
101,1,15.0,50,14,314.0,,250.0,0.0
101,1,15.0,50,14,301.0,,200.0,0.0
101,1,15.0,50,14,317.0,,760.0,0.0
101,1,15.0,50,14,331.0,,540.0,0.0
101,1,15.0,50,14,309.0,,530.0,0.0
101,1,15.0,50,14,302.0,,5075.0,0.0
101,1,15.0,50,14,311.0,,290.0,0.0
101,1,15.0,50,14,304.0,,150.0,0.0
101,1,15.0,50,15,307.0,,440.0,0.0
101,1,15.0,50,15,320.0,,780.0,0.0
101,1,15.0,50,15,311.0,,285.0,0.0
101,1,15.0,50,15,333.0,,1100.0,0.0
101,1,15.0,50,15,310.0,,54.0,0.0
101,1,15.0,50,15,309.0,,640.0,0.0
101,1,15.0,50,15,326.0,,3000.0,0.0
101,1,15.0,50,15,302.0,,5120.0,0.0
101,1,15.0,50,15,301.0,,200.0,0.0
101,1,15.0,50,15,305.0,,255.0,0.0
101,1,15.0,50,15,319.0,,630.0,0.0
101,1,15.0,50,15,312.0,,50.0,0.0
101,1,15.0,50,15,317.0,,1800.0,0.0
101,1,15.0,50,15,308.0,,1875.0,0.0
101,1,15.0,50,15,306.0,,386.0,0.0
101,1,15.0,50,15,314.0,,300.0,0.0
101,1,15.0,50,15,304.0,,150.0,0.0
101,1,15.0,50,15,399.0,,750.0,0.0
101,1,15.0,50,15,330.0,,700.0,0.0
101,1,17.0,2,13,302.0,,100.0,0.0
101,1,17.0,2,13,324.0,,20.0,0.0
101,1,17.0,2,13,317.0,,40.0,0.0
101,1,17.0,2,13,308.0,,40.0,0.0
101,1,17.0,2,13,318.0,,18.0,0.0
101,1,17.0,2,14,302.0,,300.0,0.0
101,1,17.0,2,14,306.0,,50.0,0.0
101,1,17.0,2,14,319.0,,45.0,0.0
101,1,17.0,2,14,317.0,,20.0,0.0
101,1,17.0,2,14,308.0,,80.0,0.0
101,1,17.0,2,14,318.0,,30.0,0.0
101,1,17.0,2,19,317.0,,20.0,0.0
101,1,17.0,2,19,302.0,,140.0,0.0
101,1,17.0,2,19,320.0,,40.0,0.0
101,1,17.0,2,19,306.0,,16.0,0.0
101,1,17.0,2,19,311.0,,21.0,0.0
101,1,17.0,2,19,308.0,,180.0,0.0
101,1,21.0,36,13,309.0,,60.0,0.0
101,1,21.0,36,13,312.0,,190.0,0.0
101,1,21.0,36,13,310.0,,50.0,0.0
101,1,21.0,36,13,308.0,,300.0,0.0
101,1,21.0,36,13,321.0,,200.0,0.0
101,1,21.0,36,13,325.0,,1080.0,0.0
101,1,21.0,36,13,324.0,,160.0,0.0
101,1,21.0,36,13,317.0,,250.0,0.0
101,1,21.0,36,13,313.0,,55.0,0.0
101,1,21.0,36,13,304.0,,50.0,0.0
101,1,21.0,36,13,333.0,,400.0,0.0
101,1,21.0,36,13,306.0,,70.0,0.0
101,1,21.0,36,13,316.0,,170.0,0.0
101,1,21.0,36,13,318.0,,70.0,0.0
101,1,21.0,36,13,302.0,,400.0,0.0
101,1,21.0,36,13,328.0,,2000.0,0.0
101,1,21.0,36,13,320.0,,40.0,0.0
101,1,21.0,36,13,305.0,,150.0,0.0
101,1,21.0,36,15,321.0,,190.0,0.0
101,1,21.0,36,15,311.0,,120.0,0.0
101,1,21.0,36,15,308.0,,300.0,0.0
101,1,21.0,36,15,320.0,,150.0,0.0
101,1,21.0,36,15,303.0,,60.0,0.0
101,1,21.0,36,15,309.0,,70.0,0.0
101,1,21.0,36,15,306.0,,100.0,0.0
101,1,21.0,36,15,325.0,,30.0,0.0
101,1,21.0,36,15,302.0,,500.0,0.0
101,1,21.0,36,15,331.0,,50.0,0.0
101,1,21.0,36,15,326.0,,60.0,0.0
101,1,21.0,36,15,304.0,,40.0,0.0
101,1,21.0,36,15,317.0,,320.0,0.0
101,1,21.0,36,15,318.0,,70.0,0.0
101,1,21.0,36,15,312.0,,200.0,0.0
101,1,21.0,36,19,309.0,,360.0,0.0
101,1,21.0,36,19,317.0,,270.0,0.0
101,1,21.0,36,19,304.0,,150.0,0.0
101,1,21.0,36,19,307.0,,600.0,0.0
101,1,21.0,36,19,327.0,,210.0,0.0
101,1,21.0,36,19,301.0,,430.0,0.0
101,1,21.0,36,19,325.0,,1260.0,0.0
101,1,21.0,36,19,308.0,,1900.0,0.0
101,1,21.0,36,19,303.0,,60.0,0.0
101,1,21.0,36,19,326.0,,3360.0,0.0
101,1,21.0,36,19,333.0,,500.0,0.0
101,1,21.0,36,19,302.0,,2800.0,0.0
101,1,21.0,36,19,331.0,,620.0,0.0
101,1,21.0,36,19,314.0,,260.0,0.0
101,1,21.0,36,19,311.0,,220.0,0.0
101,1,21.0,36,19,320.0,,250.0,0.0
101,1,21.0,36,19,306.0,,70.0,0.0
101,1,21.0,36,19,321.0,,310.0,0.0
101,1,21.0,36,19,322.0,,350.0,0.0
101,1,21.0,36,19,315.0,,25.0,0.0
101,1,23.0,18,13,399.0,,2890.0,0.0
101,1,23.0,18,13,308.0,,600.0,0.0
101,1,23.0,18,13,325.0,,2890.0,0.0
101,1,23.0,18,13,312.0,,110.0,0.0
101,1,23.0,18,13,301.0,,170.0,0.0
101,1,23.0,18,13,304.0,,60.0,0.0
101,1,23.0,18,13,309.0,,120.0,0.0
101,1,23.0,18,13,302.0,,1300.0,0.0
101,1,23.0,18,13,306.0,,60.0,0.0
101,1,23.0,18,13,311.0,,150.0,0.0
101,1,23.0,18,13,320.0,,450.0,0.0
101,1,23.0,18,13,319.0,,200.0,0.0
101,1,23.0,18,13,307.0,,160.0,0.0
101,1,23.0,18,13,317.0,,105.0,0.0
101,1,23.0,18,13,321.0,,300.0,0.0
101,1,23.0,18,13,310.0,,70.0,0.0
101,1,23.0,18,13,305.0,,120.0,0.0
101,1,23.0,18,24,311.0,,150.0,0.0
101,1,23.0,18,24,324.0,,500.0,0.0
101,1,23.0,18,24,320.0,,550.0,0.0
101,1,23.0,18,24,321.0,,200.0,0.0
101,1,23.0,18,24,317.0,,150.0,0.0
101,1,23.0,18,24,310.0,,80.0,0.0
101,1,23.0,18,24,312.0,,120.0,0.0
101,1,23.0,18,24,301.0,,200.0,0.0
101,1,23.0,18,24,325.0,,4390.0,0.0
101,1,23.0,18,24,399.0,,4390.0,0.0
101,1,23.0,18,24,309.0,,200.0,0.0
101,1,23.0,18,24,306.0,,160.0,0.0
101,1,23.0,18,24,302.0,,2170.0,0.0
101,1,23.0,18,24,305.0,,150.0,0.0
101,1,23.0,18,24,308.0,,600.0,0.0
101,1,23.0,18,24,319.0,,200.0,0.0
101,1,23.0,18,24,304.0,,60.0,0.0
101,1,23.0,18,24,307.0,,200.0,0.0
101,1,23.0,18,29,309.0,,120.0,0.0
101,1,23.0,18,29,305.0,,200.0,0.0
101,1,23.0,18,29,307.0,,170.0,0.0
101,1,23.0,18,29,316.0,,400.0,0.0
101,1,23.0,18,29,302.0,,2140.0,0.0
101,1,23.0,18,29,308.0,,600.0,0.0
101,1,23.0,18,29,306.0,,100.0,0.0
101,1,23.0,18,29,311.0,,100.0,0.0
101,1,23.0,18,29,304.0,,60.0,0.0
101,1,23.0,18,29,310.0,,50.0,0.0
101,1,23.0,18,29,314.0,,50.0,0.0
101,1,23.0,18,29,399.0,,5400.0,0.0
101,1,23.0,18,29,312.0,,110.0,0.0
101,1,23.0,18,29,324.0,,600.0,0.0
101,1,23.0,18,29,320.0,,520.0,0.0
101,1,23.0,18,29,301.0,,200.0,0.0
101,1,23.0,18,29,319.0,,150.0,0.0
101,3,3.0,23,13,312.0,,165.0,0.0
101,3,3.0,23,13,311.0,,100.0,0.0
101,3,3.0,23,13,306.0,,125.0,0.0
101,3,3.0,23,13,308.0,,205.0,0.0
101,3,3.0,23,13,322.0,,100.0,0.0
101,3,3.0,23,13,325.0,,720.0,0.0
101,3,3.0,23,13,315.0,,20.0,0.0
101,3,3.0,23,13,314.0,,50.0,0.0
101,3,3.0,23,13,303.0,,50.0,0.0
101,3,3.0,23,13,318.0,,50.0,0.0
101,3,3.0,23,13,321.0,,700.0,0.0
101,3,3.0,23,13,324.0,,215.0,0.0
101,3,3.0,23,13,304.0,,100.0,0.0
101,3,3.0,23,13,309.0,,350.0,0.0
101,3,3.0,23,13,320.0,,135.0,0.0
101,3,3.0,23,13,310.0,,80.0,0.0
101,3,3.0,23,13,302.0,,1800.0,0.0
101,3,3.0,23,15,308.0,,120.0,0.0
101,3,3.0,23,15,305.0,,100.0,0.0
101,3,3.0,23,15,302.0,,1200.0,0.0
101,3,3.0,23,15,301.0,,100.0,0.0
101,3,3.0,23,15,320.0,,200.0,0.0
101,3,3.0,23,15,306.0,,100.0,0.0
101,3,3.0,23,15,312.0,,35.0,0.0
101,3,3.0,23,15,324.0,,115.0,0.0
101,3,3.0,23,15,310.0,,50.0,0.0
101,3,3.0,23,15,309.0,,300.0,0.0
101,3,3.0,23,15,318.0,,100.0,0.0
101,3,3.0,23,15,311.0,,65.0,0.0
101,3,3.0,23,15,322.0,,85.0,0.0
101,3,3.0,23,15,315.0,,10.0,0.0
101,3,3.0,23,15,307.0,,50.0,0.0
101,3,3.0,23,15,304.0,,80.0,0.0
101,3,3.0,23,15,325.0,,778.0,0.0
101,3,3.0,23,19,324.0,,500.0,0.0
101,3,3.0,23,19,309.0,,450.0,0.0
101,3,3.0,23,19,304.0,,215.0,0.0
101,3,3.0,23,19,302.0,,4560.0,0.0
101,3,3.0,23,19,305.0,,2000.0,0.0
101,3,3.0,23,19,325.0,,7950.0,0.0
101,3,3.0,23,19,320.0,,300.0,0.0
101,3,3.0,23,19,312.0,,100.0,0.0
101,3,3.0,23,19,310.0,,100.0,0.0
101,3,3.0,23,19,319.0,,140.0,0.0
101,3,3.0,23,19,322.0,,200.0,0.0
101,3,3.0,23,19,328.0,,2850.0,0.0
101,3,3.0,23,19,306.0,,500.0,0.0
101,3,3.0,23,19,308.0,,1000.0,0.0
101,3,3.0,23,19,330.0,,570.0,0.0
101,3,3.0,23,19,316.0,,1500.0,0.0
101,3,3.0,23,19,311.0,,200.0,0.0
101,3,3.0,23,19,315.0,,50.0,0.0
