tinh,huyen,xa,diaban,hoso,m7c1,m7c2,m7c3,m7c4,m7c5,m7c6,m7c7,m7c8,m7c9,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m7c17,m7c18,m7c19,m7c20a,m7c20b,m7c21,m7c22,m7c23,m7c23a,m7c24,m7c241,m7c242,m7c25,m7c251,m7c252,m7c253,m7c254,m7c26,m7c27,m7c27a,m7c28,m7c29,m7c30,m7c31,m7c32,m7c33,m7c34,m7c35,m7c36,m7c37,m7c38,m7c39,m7c391,m7c40,m7c41,m7c42,m7c43,m7c44
101,3,3.0,23,15,1,30.0,4.0,1986.0,,1.0,2.0,,,,,200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,700.0,6,1,1,1350.0,1,1,240.0,,2290,2,,,
101,3,3.0,23,19,1,110.0,2.0,2000.0,,1.0,2.0,,,,,1575000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,920.0,1,1,1,3220.0,1,1,200.0,,4340,1,2.0,,
101,3,11.0,9,15,1,130.0,2.0,1998.0,,1.0,2.0,,,,,2200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,3,,,1,3,,1,940.0,1,1,1,5300.0,1,1,180.0,,6420,2,,,
101,3,11.0,9,19,1,200.0,2.0,1957.0,,1.0,2.0,,,,,3000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,3,,,1,3,,1,1200.0,1,1,1,4260.0,1,1,252.0,,5712,2,,,
101,3,11.0,9,20,1,30.0,2.0,2008.0,3.0,3.0,2.0,,,,,700000.0,2.0,,,,,,2.0,,,,1.0,100000.0,30000.0,5000.0,,,600.0,,,,,3,,,1,3,,1,720.0,1,1,1,960.0,1,1,144.0,,37424,2,,,
101,3,13.0,8,13,1,81.0,3.0,1968.0,,1.0,2.0,,,,,1600000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,2,,1,1,1,1200.0,1,1,144.0,,1344,2,,,
101,3,13.0,8,14,1,180.0,2.0,1968.0,,1.0,2.0,,,,,1200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,1,4,1.0,2,,1,1,1,3600.0,1,1,216.0,,3816,2,,,
101,3,13.0,8,15,1,125.0,2.0,1986.0,,1.0,2.0,,,,,2000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,1.0,1.0,2,4,1.0,2,,1,1,1,3600.0,1,1,252.0,,3852,2,,,
101,5,3.0,17,13,1,60.0,2.0,1952.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,300.0,,,,,1,,,1,1,,1,550.0,1,1,1,1700.0,1,1,60.0,,2610,2,,,
101,5,3.0,17,14,1,40.0,2.0,1945.0,,1.0,2.0,,,,,400000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,360.0,1,1,1,2000.0,1,1,72.0,,2432,2,,,
101,5,3.0,17,20,1,80.0,2.0,1963.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,600.0,,,,,1,,,1,1,,1,600.0,1,1,1,1800.0,1,1,144.0,,3144,2,,,
101,5,11.0,7,13,1,19.0,4.0,1958.0,,1.0,2.0,,,,,285000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,540.0,1,1,1,1500.0,1,1,90.0,,2130,2,,,
101,5,11.0,7,14,1,21.0,4.0,1958.0,,1.0,2.0,,,,,350000.0,1.0,2.0,,,,1400000.0,1.0,8.0,1997.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,850.0,1,1,1,2770.0,1,1,120.0,,3740,1,1.0,12.0,3600.0
101,5,11.0,7,15,1,100.0,2.0,1996.0,,1.0,2.0,,,,,20000000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,744.0,1,1,1,2760.0,1,1,150.0,,3654,1,1.0,12.0,930.0
101,5,17.0,18,13,1,30.0,3.0,1995.0,,1.0,2.0,,,,,500000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,600.0,1,1,1,1440.0,1,1,12.0,,2052,2,,,
101,5,17.0,18,14,1,40.0,4.0,1990.0,,1.0,2.0,,,,,400000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,2,,,1,2,,1,600.0,1,1,1,1600.0,1,1,80.0,,2280,2,,,
