tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
607,1,21.0,6,13,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,21.0,6,14,1,2,1,1,1,,52.0,46.0,12.0,30.0,4.0,19.0,2.0,,,,,,,,0,1.0,61.0,1.0,12.0,30.0,4.0,18.0,2.0,,,,,,,0,2.0,,,1,2.0
607,1,21.0,6,14,2,1,2,2,1,,41.0,42.0,12.0,30.0,8.0,18.0,4.0,1.0,30572.0,1176.0,0.0,0.0,1764.0,2822.0,5762,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,14,3,2,1,2,1,,92.0,1.0,12.0,30.0,4.0,2.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,14,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,14,5,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,15,1,2,1,2,1,,61.0,1.0,9.0,28.0,7.0,25.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,15,2,2,1,2,1,,92.0,1.0,8.0,28.0,7.0,25.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,1,21.0,6,15,3,2,2,1,1,,52.0,96.0,12.0,30.0,10.0,2.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,15,4,2,2,2,2,7.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,1,21.0,6,15,5,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,1,25.0,6,13,1,1,1,2,1,,61.0,1.0,12.0,20.0,8.0,24.0,2.0,,,,,,,,0,1.0,15.0,84.0,12.0,1.0,4.0,3.0,4.0,1150.0,57.0,0.0,0.0,0.0,0.0,57,2.0,,,1,1.0
607,1,25.0,6,13,2,1,1,2,1,,92.0,1.0,12.0,20.0,6.0,24.0,2.0,,,,,,,,0,1.0,15.0,84.0,12.0,8.0,4.0,3.0,4.0,1657.0,115.0,0.0,0.0,0.0,0.0,115,1.0,1.0,2225.0,1,2.0
607,1,25.0,6,13,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,25.0,6,13,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,25.0,6,13,5,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,1,25.0,6,13,6,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,1,25.0,6,14,1,2,1,2,1,,61.0,1.0,11.0,15.0,6.0,15.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,1,25.0,6,14,2,1,1,2,1,,92.0,1.0,10.0,25.0,8.0,15.0,3.0,,11411.0,0.0,0.0,0.0,0.0,571.0,571,1.0,92.0,1.0,2.0,30.0,8.0,15.0,2.0,,,,,,,0,2.0,,,1,2.0
