tinh,huyen,xa,diaban,hoso,m6ama,m6ama1,m6ac3,m6ac4a,m6ac4b,m6ac5,m6ac6,m6ac7
101,7,33.0,21,20,14.0,,1.0,0.0,2000.0,150000.0,500000.0,100.0
101,7,33.0,21,20,20.0,,1.0,0.0,2002.0,16000.0,7000.0,100.0
101,7,33.0,21,24,,,,,,,,
101,7,37.0,15,13,,,,,,,,
101,7,37.0,15,14,,,,,,,,
101,7,37.0,15,15,,,,,,,,
101,8,3.0,7,13,,,,,,,,
101,8,3.0,7,14,,,,,,,,
101,8,3.0,7,15,36.0,,1.0,0.0,2004.0,7000.0,5500.0,100.0
101,8,3.0,7,15,20.0,,1.0,0.0,2001.0,17000.0,3000.0,100.0
101,8,5.0,16,13,,,,,,,,
101,8,5.0,16,14,,,,,,,,
101,8,5.0,16,15,,,,,,,,
101,8,7.0,18,14,,,,,,,,
101,8,7.0,18,19,,,,,,,,
101,8,7.0,18,20,,,,,,,,
101,8,15.0,27,14,,,,,,,,
101,8,15.0,27,15,,,,,,,,
101,8,15.0,27,20,,,,,,,,
101,8,19.0,22,14,,,,,,,,
101,8,19.0,22,15,,,,,,,,
101,8,19.0,22,20,,,,,,,,
101,8,25.0,6,14,,,,,,,,
101,8,25.0,6,15,,,,,,,,
101,8,25.0,6,19,,,,,,,,
101,8,27.0,16,13,,,,,,,,
101,8,27.0,16,14,48.0,,1.0,0.0,2000.0,9200.0,4800.0,100.0
101,8,27.0,16,14,14.0,,1.0,0.0,2000.0,975000.0,1063000.0,100.0
101,8,27.0,16,14,41.0,,1.0,0.0,2001.0,10500.0,4000.0,100.0
101,8,27.0,16,14,40.0,,1.0,0.0,2002.0,750.0,200.0,100.0
101,8,27.0,16,14,49.0,,1.0,0.0,2001.0,17000.0,9500.0,100.0
101,8,27.0,16,15,,,,,,,,
101,9,3.0,23,13,,,,,,,,
101,9,3.0,23,14,,,,,,,,
101,9,3.0,23,15,,,,,,,,
101,9,5.0,8,14,,,,,,,,
101,9,5.0,8,15,20.0,,1.0,0.0,1997.0,16000.0,5440.0,100.0
101,9,5.0,8,24,,,,,,,,
101,9,11.0,35,13,,,,,,,,
101,9,11.0,35,14,,,,,,,,
