Age,Gt
25,0.498577381309261
26,0.4140561399359792
27,0.43587260110563236
28,0.47459460983127333
29,0.4609170430476799
30,0.4409152471018513
31,0.45788452014969155
32,0.4798233351502841
33,0.46900176409912836
34,0.44360380595780724
35,0.4519416467448561
36,0.47550662266554
37,0.44380506825682825
38,0.44117176171176303
39,0.44576742438286215
40,0.44599045598405973
41,0.4579022440581775
42,0.4690798918585479
43,0.4539500482816679
44,0.4612703240806922
45,0.44737783810033943
46,0.46853568322562156
47,0.4326947419461352
48,0.48435574694381933
49,0.4616148430476029
50,0.4423664243960393
51,0.43557577964655375
52,0.4153945629773526
53,0.4483814984026553
54,0.45973775277147355
55,0.4521902957675658
56,0.4372288911067563
57,0.4382928186620431
58,0.46095688602005636
59,0.4657770040185584
60,0.4604403576657125
61,0.4536085703031791
62,0.3899447744727422
63,0.4419145064400196
64,0.37037113038540126
65,0.41810500984361637
66,0.46024161040927203
67,0.4345283207393726
68,0.44471260560128506
69,0.4313420691576995
70,0.40446503272611345
71,0.43868492256537184
72,0.48257738994180926
73,0.41134065901488703
74,0.4862369451303722
75,0.44113457722952293
76,0.4585546409779294
77,0.43020779931237435
78,0.519039646663819
79,0.4980652770638174
80,0.40934061244505576
81,0.33910623118671857
82,0.4270125682786676
83,0.3658480547888403
84,0.42566732709220567
85,0.5076923076923077
86,0.37685471693562467
87,0.6454326923076923
88,0.30096153846153845
89,0.521032013387238
90,
91,0.5596153846153846
92,0.46326599768964766
93,
94,
95,
97,
