tinh,huyen,xa,diaban,hoso,total_hours_x,total_income_x,num_workers_x,hsize_x,hsize_y,avg_hours_per_worker_x,normalized_hours_x,total_hours_y,total_income_y,num_workers_y,avg_hours_per_worker_y,normalized_hours_y,avg_consumption_per_member
101,7,27.0,3,15,4992.0,53300.0,2,5.0,5,2496.0,0.6,4992.0,53300.0,2,2496.0,0.6,11552.5
101,7,33.0,21,15,4224.0,106820.0,2,3.0,3,2112.0,0.5076923076923077,4224.0,106820.0,2,2112.0,0.5076923076923077,148144.76666666666
101,7,37.0,15,13,5112.0,78915.0,2,4.0,4,2556.0,0.614423076923077,5112.0,78915.0,2,2556.0,0.614423076923077,26356.375
101,8,3.0,7,13,5184.0,43443.0,2,4.0,4,2592.0,0.6230769230769231,5184.0,43443.0,2,2592.0,0.6230769230769231,10102.625
101,8,3.0,7,14,3360.0,20151.0,1,3.0,3,3360.0,0.8076923076923077,3360.0,20151.0,1,3360.0,0.8076923076923077,9312.1
101,8,5.0,16,13,3456.0,77418.0,2,4.0,4,1728.0,0.4153846153846154,3456.0,77418.0,2,1728.0,0.4153846153846154,27749.775
101,8,5.0,16,14,3408.0,81274.0,2,5.0,5,1704.0,0.4096153846153846,3408.0,81274.0,2,1704.0,0.4096153846153846,14128.12
101,8,5.0,16,15,4992.0,44489.0,2,5.0,5,2496.0,0.6,4992.0,44489.0,2,2496.0,0.6,11967.18
101,8,7.0,18,14,9408.0,119338.0,4,4.0,4,2352.0,0.5653846153846154,9408.0,119338.0,4,2352.0,0.5653846153846154,14480.625
101,8,7.0,18,19,4224.0,106070.0,2,5.0,5,2112.0,0.5076923076923077,4224.0,106070.0,2,2112.0,0.5076923076923077,14329.26
101,8,7.0,18,20,3240.0,23601.0,2,4.0,4,1620.0,0.3894230769230769,3240.0,23601.0,2,1620.0,0.3894230769230769,15092.6
101,8,15.0,27,15,1872.0,18367.0,1,3.0,3,1872.0,0.45,1872.0,18367.0,1,1872.0,0.45,11786.133333333333
101,8,19.0,22,14,4224.0,46651.0,2,4.0,4,2112.0,0.5076923076923077,4224.0,46651.0,2,2112.0,0.5076923076923077,14428.224999999999
101,8,19.0,22,15,3120.0,21398.0,1,4.0,4,3120.0,0.75,3120.0,21398.0,1,3120.0,0.75,12371.925
101,8,25.0,6,14,6168.0,44540.0,2,3.0,3,3084.0,0.7413461538461539,6168.0,44540.0,2,3084.0,0.7413461538461539,8911.199999999999
101,8,25.0,6,15,4608.0,62907.0,2,3.0,3,2304.0,0.5538461538461539,4608.0,62907.0,2,2304.0,0.5538461538461539,15237.266666666668
101,8,27.0,16,13,7392.0,73006.0,3,7.0,7,2464.0,0.5923076923076923,7392.0,73006.0,3,2464.0,0.5923076923076923,13841.442857142858
101,9,3.0,23,13,3872.0,56020.0,2,3.0,3,1936.0,0.4653846153846154,3872.0,56020.0,2,1936.0,0.4653846153846154,12688.233333333332
101,9,3.0,23,15,2112.0,78757.0,2,3.0,3,1056.0,0.25384615384615383,2112.0,78757.0,2,1056.0,0.25384615384615383,19240.666666666668
101,9,5.0,8,14,2832.0,61672.0,1,3.0,3,2832.0,0.6807692307692308,2832.0,61672.0,1,2832.0,0.6807692307692308,16023.699999999999
101,9,5.0,8,15,2496.0,16008.0,1,4.0,4,2496.0,0.6,2496.0,16008.0,1,2496.0,0.6,8838.85
101,9,11.0,35,13,5760.0,46469.0,2,2.0,2,2880.0,0.6923076923076923,5760.0,46469.0,2,2880.0,0.6923076923076923,20632.15
101,9,15.0,15,13,2688.0,93172.0,2,3.0,3,1344.0,0.3230769230769231,2688.0,93172.0,2,1344.0,0.3230769230769231,17791.433333333334
101,9,15.0,15,19,4608.0,86585.0,2,3.0,3,2304.0,0.5538461538461539,4608.0,86585.0,2,2304.0,0.5538461538461539,23319.933333333334
101,9,19.0,26,13,4224.0,72091.0,2,5.0,5,2112.0,0.5076923076923077,4224.0,72091.0,2,2112.0,0.5076923076923077,21166.16
101,9,23.0,11,15,5040.0,33324.0,1,4.0,4,5040.0,1.2115384615384615,5040.0,33324.0,1,5040.0,1.2115384615384615,13896.35
101,9,23.0,11,24,8640.0,73286.0,3,5.0,5,2880.0,0.6923076923076923,8640.0,73286.0,3,2880.0,0.6923076923076923,10681.58
101,9,31.0,10,13,5280.0,53815.0,3,4.0,4,1760.0,0.4230769230769231,5280.0,53815.0,3,1760.0,0.4230769230769231,19035.725
101,9,35.0,24,13,4320.0,73928.0,2,4.0,4,2160.0,0.5192307692307693,4320.0,73928.0,2,2160.0,0.5192307692307693,12916.975
101,9,35.0,24,20,4032.0,57030.0,2,4.0,4,2016.0,0.4846153846153846,4032.0,57030.0,2,2016.0,0.4846153846153846,11397.3
101,9,39.0,17,19,1936.0,46234.0,1,5.0,5,1936.0,0.4653846153846154,1936.0,46234.0,1,1936.0,0.4653846153846154,12024.48
101,9,39.0,17,20,3872.0,44539.0,2,6.0,6,1936.0,0.4653846153846154,3872.0,44539.0,2,1936.0,0.4653846153846154,12851.050000000001
101,11,1.0,10,13,5508.0,68969.0,2,3.0,3,2754.0,0.6620192307692307,5508.0,68969.0,2,2754.0,0.6620192307692307,20383.666666666668
101,11,1.0,10,14,4992.0,72871.0,2,4.0,4,2496.0,0.6,4992.0,72871.0,2,2496.0,0.6,17432.55
101,11,1.0,10,15,5616.0,69795.0,2,4.0,4,2808.0,0.675,5616.0,69795.0,2,2808.0,0.675,14713.525
101,11,3.0,17,13,5016.0,93831.0,2,3.0,3,2508.0,0.6028846153846154,5016.0,93831.0,2,2508.0,0.6028846153846154,55530.86666666667
101,11,3.0,17,15,4224.0,218342.0,2,4.0,4,2112.0,0.5076923076923077,4224.0,218342.0,2,2112.0,0.5076923076923077,33980.925
101,11,3.0,17,24,8736.0,126088.0,4,5.0,5,2184.0,0.525,8736.0,126088.0,4,2184.0,0.525,17267.9
101,11,5.0,24,14,4224.0,91009.0,2,5.0,5,2112.0,0.5076923076923077,4224.0,91009.0,2,2112.0,0.5076923076923077,17812.94
101,11,5.0,24,19,4224.0,50050.0,2,6.0,6,2112.0,0.5076923076923077,4224.0,50050.0,2,2112.0,0.5076923076923077,14255.883333333333
